"","crop","country","ac1","cv","Ha","d","dip.p","pollination_syndrome","sp_latin"
"126","Mango","Thailand",0.196266242863817,0.0670357848095716,185368.293103448,0.0350558504864394,0.90277233255499,"Insect","Mangifera_indica"
"127","Mango","Mexico",0.0385757083568916,0.0980409576307295,106522.068965517,0.0337561137296771,0.931553935548459,"Insect","Mangifera_indica"
"128","Mango","Indonesia",0.289039150350274,0.129020349506808,125310.431034483,0.0337703437905993,0.931238822536608,"Insect","Mangifera_indica"
"129","Mango","Pakistan",0.0298080466772701,0.115121300020872,102807.344827586,0.0367674377273324,0.849044231444084,"Insect","Mangifera_indica"
"130","Mango","Brazil",0.171251779492431,0.0562211929150512,55519.6896551724,0.0331801270896367,0.944308686629348,"Insect","Mangifera_indica"
"131","Mango","Nigeria",0.316025842253151,0.0205533963691459,92257.7068965517,0.0317417520081505,0.965795932299258,"Insect","Mangifera_indica"
"132","Mango","Philippines",0.620782603090681,0.12339256147917,99641.0344827586,0.0389858808067249,0.772548650188426,"Insect","Mangifera_indica"
"133","Mango","Bangladesh",0.0862892486167604,0.279018964618097,59973.3620689655,0.0366111252200598,0.854065071780606,"Insect","Mangifera_indica"
"134","Oil palm","Malaysia",-0.187883363528726,0.057467576032897,2179676.70689655,0.024252658599748,0.995749398381272,"Insect","Elaeis_guineensis"
"135","Oil palm","Indonesia",0.330592009723065,0.0669439322786314,2008609.37931034,0.0394713185342774,0.753279338906089,"Insect","Elaeis_guineensis"
"136","Oil palm","Nigeria",0.286346156220799,0.0145776749443307,2625113,0.0319051265758529,0.963611461638653,"Insect","Elaeis_guineensis"
"137","Oil palm","Thailand",0.209651895637411,0.112190305226038,192106.448275862,0.03235604014737,0.957582325762122,"Insect","Elaeis_guineensis"
"138","Oil palm","Colombia",0.04338278204144,0.0372642188800851,97804.4137931034,0.0431520014572437,0.600557055918662,"Insect","Elaeis_guineensis"
"139","Oil palm","Ghana",-0.0515447246774913,0.050592655463114,183936.103448276,0.0316046386706035,0.96762926576885,"Insect","Elaeis_guineensis"
"140","Oil palm","Democratic Republic of the Congo",0.419577972088047,0.0229194535439526,194292.24137931,0.0359814820961947,0.874289541652383,"Insect","Elaeis_guineensis"
